Título,Autor,Serie,Valoración,Votos
THE WINTER OF THE WITCH,Katherine Arden,The Winternight Trilogy #3,4.49,77063
FACING THE MOUNTAIN: A TRUE STORY OF JAPANESE AMERICAN HEROES IN WORLD WAR II,Daniel James Brown,,4.49,10121
BORN A CRIME: STORIES FROM A SOUTH AFRICAN CHILDHOOD,Trevor Noah,,4.49,696500
THE WAR THAT SAVED MY LIFE,Kimberly Brubaker Bradley,The War That Saved My Life #1,4.49,100256
THE HUNGER GAMES TRILOGY BOXSET,Suzanne Collins,The Hunger Games #1-3,4.49,221630
STONE BUTCH BLUES,Leslie Feinberg,,4.49,28741
THE WAR I FINALLY WON,Kimberly Brubaker Bradley,The War That Saved My Life #2,4.49,40135
SIX OF CROWS,Leigh Bardugo,Six of Crows #1,4.49,953428
THE HIVE QUEEN,Tui T. Sutherland,Wings of Fire #12,4.49,13824
BEING MORTAL: MEDICINE AND WHAT MATTERS IN THE END,Atul Gawande,,4.49,191140
ONE LAST KILL,Robert Dugoni,Tracy Crosswhite #10,4.49,17293
SIX OF CROWS,Leigh Bardugo,Six of Crows #1,4.49,953420
YUMI AND THE NIGHTMARE PAINTER,Brandon Sanderson,,4.49,48025
BORN OF SILENCE,Sherrilyn Kenyon,The League: Nemesis Rising #5,4.49,11896
SIX OF CROWS,Leigh Bardugo,Six of Crows #1,4.49,953428
حياة في الإدارة,Ghazi A. Algosaibi,,4.49,13886
CATECHISM OF THE CATHOLIC CHURCH: COMPLETE AND UPDATED,Catholic Church,,4.48,10981
A COURT OF WINGS AND RUIN,Sarah J. Maas,A Court of Thorns and Roses #3,4.48,1579259
THE TWO TOWERS,J.R.R. Tolkien,The Lord of the Rings #2,4.48,972446
DEATH BRINGER,Derek Landy,Skulduggery Pleasant #6,4.48,18969
THE COMPLETE WORKS,William Shakespeare,,4.48,55292
ALL MY KNOTTED-UP LIFE: A MEMOIR,Beth Moore,,4.48,34711
A COURT OF WINGS AND RUIN,Sarah J. Maas,A Court of Thorns and Roses #3,4.48,1579212
OUT OF THE DARK,Quinn Loftis,The Grey Wolves #4,4.48,16198
"FRUITS BASKET, VOL. 16",Natsuki Takaya,,4.48,13785
THE TWO TOWERS,J.R.R. Tolkien,The Lord of the Rings #2,4.48,972441
"ONE PIECE, VOLUME 1: ROMANCE DAWN",Eiichiro Oda,One Piece #1,4.48,144445
CONFLUENCE,Tsugumi Ohba,Death Note #2,4.48,51250
"STAMPED: RACISM, ANTIRACISM, AND YOU",Jason Reynolds,,4.48,51462
OATH OF LOYALTY,Kyle Mills,Mitch Rapp #21,4.48,20134
TOUCH & GEAUX,Abigail Roux,Cut & Run #7,4.48,10553
"DEATH NOTE: BLACK EDITION, VOL. 1",Tsugumi Ohba,,4.48,21072
KINGDOM OF THE WICKED,Derek Landy,Skulduggery Pleasant #7,4.48,16546
A SHEPHERD LOOKS AT PSALM 23,W. Phillip Keller,,4.48,12973
THE BONEHUNTERS,Steven Erikson,Malazan Book of the Fallen #6,4.48,40084
THE FINAL EMPIRE,Brandon Sanderson,Mistborn #1,4.48,695071
THE STORYTELLER: TALES OF LIFE AND MUSIC,Dave Grohl,,4.48,135415
THE TWO TOWERS,J.R.R. Tolkien,The Lord of the Rings #2,4.48,972441
THE FINAL EMPIRE,Brandon Sanderson,Mistborn #1,4.48,695084
SKYWARD,Brandon Sanderson,Skyward #1,4.48,138664
THE GREEN MILE,Stephen King,,4.48,321235
COMPLETE WORKS OF OSCAR WILDE,Oscar Wilde,,4.48,14832
THE COMPLETE TALES AND POEMS OF WINNIE-THE-POOH,A.A. Milne,Winnie-the-Pooh #1-4,4.48,44786
THREE COMRADES,Erich Maria Remarque,,4.48,34733
COLD DAYS,Jim Butcher,The Dresden Files #14,4.48,100096
WUNDERSMITH: THE CALLING OF MORRIGAN CROW,Jessica Townsend,Nevermoor #2,4.48,36138
EXILE,Shannon Messenger,Keeper of the Lost Cities #2,4.48,52679
"BERSERK, VOL. 1",Kentaro Miura,Berserk #1,4.48,47424
THE COMPLETE SHERLOCK HOLMES: VOLUME II,Arthur Conan Doyle,,4.48,80594
REUNION,Karen Kingsbury,Redemption #5,4.48,16355
IGNITE ME,Tahereh Mafi,Shatter Me #3,4.47,479757
THE SWORD OF KAIGEN,M.L.  Wang,,4.47,28187
HEARTSTOPPER: VOLUME ONE,Alice Oseman,Heartstopper #1,4.47,723718
SHOE DOG: A MEMOIR BY THE CREATOR OF NIKE,Phil Knight,,4.47,300207
THE COMPLETE SHORT NOVELS,Anton Chekhov,,4.47,11680
A SHADOW IN THE EMBER,Jennifer L. Armentrout,Flesh and Fire #1,4.47,150903
HEARTSTOPPER: VOLUME ONE,Alice Oseman,Heartstopper #1,4.47,723718
الإسلام بين الشرق والغرب,Alija Izetbegović,,4.47,11509
THE HELP,Kathryn Stockett,,4.47,2770888
MUSASHI,Eiji Yoshikawa,,4.47,20390
THE MARK OF ATHENA,Rick Riordan,The Heroes of Olympus #3,4.47,603394
LEGACY,Shannon Messenger,Keeper of the Lost Cities #8,4.47,29307
ROCK CHICK REVENGE,Kristen Ashley,Rock Chick #5,4.47,34624
FATHER MINE,J.R. Ward,Black Dagger Brotherhood #6.5,4.47,42233
THE LOST CONTINENT,Tui T. Sutherland,Wings of Fire #11,4.47,15563
DARK AGE,Pierce Brown,Red Rising Saga #5,4.47,62958
MARTIN EDEN,Jack London,,4.47,43271
THE POWER BROKER: ROBERT MOSES AND THE FALL OF NEW YORK,Robert A. Caro,,4.47,21662
